path,RGB,cluster
Q:/service/picture_test/cls\A1.tif,255 0 0,
Q:/service/picture_test/cls\A10.tif,134 7 7,
Q:/service/picture_test/cls\A2.tif,254 33 33,
Q:/service/picture_test/cls\A3.tif,255 71 71,
Q:/service/picture_test/cls\A4.tif,255 90 90,
Q:/service/picture_test/cls\A5.tif,223 80 80,
Q:/service/picture_test/cls\A6.tif,222 43 43,
Q:/service/picture_test/cls\A7.tif,225 4 4,
Q:/service/picture_test/cls\A8.tif,194 3 3,
Q:/service/picture_test/cls\A9.tif,196 38 38,
Q:/service/picture_test/cls\B1.tif,213 152 152,
Q:/service/picture_test/cls\B10.tif,200 78 159,
Q:/service/picture_test/cls\B2.tif,255 255 255,
Q:/service/picture_test/cls\B3.tif,70 69 69,
Q:/service/picture_test/cls\B4.tif,14 10 10,
Q:/service/picture_test/cls\B5.tif,100 99 47,
Q:/service/picture_test/cls\B6.tif,179 178 111,
Q:/service/picture_test/cls\B7.tif,208 207 135,
Q:/service/picture_test/cls\B8.tif,83 51 26,
Q:/service/picture_test/cls\B9.tif,124 83 51,
Q:/service/picture_test/cls\C1.tif,81 0 255,
Q:/service/picture_test/cls\C10.tif,238 24 24,
Q:/service/picture_test/cls\C2.tif,20 119 211,
Q:/service/picture_test/cls\C3.tif,19 199 212,
Q:/service/picture_test/cls\C4.tif,176 54 74,
Q:/service/picture_test/cls\C5.tif,225 255 0,
Q:/service/picture_test/cls\C6.tif,30 255 0,
Q:/service/picture_test/cls\C7.tif,0 255 208,
Q:/service/picture_test/cls\C8.tif,166 206 199,
Q:/service/picture_test/cls\C9.tif,165 72 215,
